url21, 1, 0.0274602
url11, 3, 0.0231171
url10, 3, 0.0035714
url12, 3, 0.0035714
url13, 3, 0.0035714
url14, 2, 0.0035714
url15, 2, 0.0035714
url16, 4, 0.0035714
url20, 2, 0.0035714
url22, 4, 0.0035714
url23, 4, 0.0035714
url24, 4, 0.0035714
url25, 4, 0.0035714
url26, 4, 0.0035714
url30, 3, 0.0035714
url31, 3, 0.0035714
url32, 0, 0.0035714
url33, 0, 0.0035714
url34, 0, 0.0035714
url35, 0, 0.0035714
url36, 4, 0.0035714
url40, 4, 0.0035714
url41, 3, 0.0035714
url42, 3, 0.0035714
url43, 0, 0.0035714
url44, 0, 0.0035714
url45, 0, 0.0035714
url46, 0, 0.0035714
url50, 3, 0.0035714
url51, 3, 0.0035714
url52, 0, 0.0035714
url53, 0, 0.0035714
url54, 0, 0.0035714
url55, 0, 0.0035714
url56, 4, 0.0035714
url60, 4, 0.0035714
url61, 3, 0.0035714
url62, 3, 0.0035714
url63, 0, 0.0035714
url64, 0, 0.0035714
url65, 0, 0.0035714
url66, 0, 0.0035714
